Country/Region,Confirmed,Deaths,Recovered,Active,WHO Region,Hemisphere,Season
China,3,0,0,3,Western Pacific,Northern,Winter
China,5,0,0,5,Western Pacific,Northern,Winter
China,1,1,0,0,Western Pacific,Northern,Winter
China,2,0,0,2,Western Pacific,Northern,Winter
China,5,0,0,5,Western Pacific,Northern,Winter
China,2,0,0,2,Western Pacific,Northern,Winter
China,444,17,28,399,Western Pacific,Northern,Winter
China,9,0,0,9,Western Pacific,Northern,Winter
China,0,0,0,0,Western Pacific,Northern,Winter
China,5,0,0,5,Western Pacific,Northern,Winter
China,7,0,0,7,Western Pacific,Northern,Winter
China,1,0,0,1,Western Pacific,Northern,Winter
China,3,0,0,3,Western Pacific,Northern,Winter
China,2,0,0,2,Western Pacific,Northern,Winter
China,1,0,0,1,Western Pacific,Northern,Winter
China,0,0,0,0,Western Pacific,Northern,Winter
China,3,0,0,3,Western Pacific,Northern,Winter
China,6,0,0,6,Western Pacific,Northern,Winter
China,16,0,0,16,Western Pacific,Northern,Winter
China,1,0,0,1,Western Pacific,Northern,Winter
China,8,0,0,8,Western Pacific,Northern,Winter
China,4,0,0,4,Western Pacific,Northern,Winter
China,0,0,0,0,Western Pacific,Northern,Winter
China,2,0,0,2,Western Pacific,Northern,Winter
China,2,0,0,2,Western Pacific,Northern,Winter
China,27,0,0,27,Western Pacific,Northern,Winter
Colombia,0,0,0,0,Americas,Northern,Winter
Congo (Brazzaville),0,0,0,0,Africa,Southern,Summer
Congo (Kinshasa),0,0,0,0,Africa,Southern,Summer
Costa Rica,0,0,0,0,Americas,Northern,Winter
Cote d'Ivoire,0,0,0,0,Africa,Northern,Winter
Croatia,0,0,0,0,Europe,Northern,Winter
Cuba,0,0,0,0,Americas,Northern,Winter
Cyprus,0,0,0,0,Europe,Northern,Winter
Czechia,0,0,0,0,Europe,Northern,Winter
Denmark,0,0,0,0,Europe,Northern,Winter
Greenland,0,0,0,0,Europe,Northern,Winter
Denmark,0,0,0,0,Europe,Northern,Winter
Djibouti,0,0,0,0,Eastern Mediterranean,Northern,Winter
Dominican Republic,0,0,0,0,Americas,Northern,Winter
Ecuador,0,0,0,0,Americas,Southern,Summer
Egypt,0,0,0,0,Eastern Mediterranean,Northern,Winter
El Salvador,0,0,0,0,Americas,Northern,Winter
Equatorial Guinea,0,0,0,0,Africa,Northern,Winter
Eritrea,0,0,0,0,Africa,Northern,Winter
Estonia,0,0,0,0,Europe,Northern,Winter
Eswatini,0,0,0,0,Africa,Southern,Summer
Ethiopia,0,0,0,0,Africa,Northern,Winter
Fiji,0,0,0,0,Western Pacific,Southern,Summer
Finland,0,0,0,0,Europe,Northern,Winter
France,0,0,0,0,Europe,Northern,Winter
France,0,0,0,0,Europe,Southern,Summer
France,0,0,0,0,Europe,Northern,Winter
France,0,0,0,0,Europe,Southern,Summer
France,0,0,0,0,Europe,Southern,Summer
France,0,0,0,0,Europe,Southern,Summer
France,0,0,0,0,Europe,Northern,Winter
France,0,0,0,0,Europe,Northern,Winter
France,0,0,0,0,Europe,Northern,Winter
France,0,0,0,0,Europe,Northern,Winter
Gabon,0,0,0,0,Africa,Southern,Summer
Gambia,0,0,0,0,Africa,Northern,Winter
Georgia,0,0,0,0,Europe,Northern,Winter
Germany,0,0,0,0,Europe,Northern,Winter
Ghana,0,0,0,0,Africa,Northern,Winter
Greece,0,0,0,0,Europe,Northern,Winter
Guatemala,0,0,0,0,Americas,Northern,Winter
Guinea,0,0,0,0,Africa,Northern,Winter
Guyana,0,0,0,0,Americas,Northern,Winter
Haiti,0,0,0,0,Americas,Northern,Winter
Côte d'Ivoire,0,0,0,0,Europe,Northern,Winter
Honduras,0,0,0,0,Americas,Northern,Winter
Hungary,0,0,0,0,Europe,Northern,Winter
Iceland,0,0,0,0,Europe,Northern,Winter
India,0,0,0,0,South-East Asia,Northern,Winter
Indonesia,0,0,0,0,South-East Asia,Southern,Summer
Iran,0,0,0,0,Eastern Mediterranean,Northern,Winter
Iraq,0,0,0,0,Eastern Mediterranean,Northern,Winter
Ireland,0,0,0,0,Europe,Northern,Winter
Israel,0,0,0,0,Europe,Northern,Winter
Italy,0,0,0,0,Europe,Northern,Winter
Jamaica,0,0,0,0,Americas,Northern,Winter
Japan,2,0,0,2,Western Pacific,Northern,Winter
Jordan,0,0,0,0,Eastern Mediterranean,Northern,Winter
Kazakhstan,0,0,0,0,Europe,Northern,Winter
Kenya,0,0,0,0,Africa,Southern,Summer
South Korea,1,0,0,1,Western Pacific,Northern,Winter
Kuwait,0,0,0,0,Eastern Mediterranean,Northern,Winter
Kyrgyzstan,0,0,0,0,Europe,Northern,Winter
Latvia,0,0,0,0,Europe,Northern,Winter
Lebanon,0,0,0,0,Eastern Mediterranean,Northern,Winter
Liberia,0,0,0,0,Africa,Northern,Winter
Liechtenstein,0,0,0,0,Europe,Northern,Winter
Lithuania,0,0,0,0,Europe,Northern,Winter
Luxembourg,0,0,0,0,Europe,Northern,Winter
Madagascar,0,0,0,0,Africa,Southern,Summer
Malaysia,0,0,0,0,Western Pacific,Northern,Winter
Maldives,0,0,0,0,South-East Asia,Northern,Winter
Malta,0,0,0,0,Europe,Northern,Winter
Mauritania,0,0,0,0,Africa,Northern,Winter
Mauritius,0,0,0,0,Africa,Southern,Summer
Mexico,0,0,0,0,Americas,Northern,Winter
Moldova,0,0,0,0,Europe,Northern,Winter
Monaco,0,0,0,0,Europe,Northern,Winter
Mongolia,0,0,0,0,Western Pacific,Northern,Winter
Montenegro,0,0,0,0,Europe,Northern,Winter
Morocco,0,0,0,0,Eastern Mediterranean,Northern,Winter
Namibia,0,0,0,0,Africa,Southern,Summer
Nepal,0,0,0,0,South-East Asia,Northern,Winter
Netherlands,0,0,0,0,Europe,Northern,Winter
Netherlands,0,0,0,0,Europe,Northern,Winter
Netherlands,0,0,0,0,Europe,Northern,Winter
Netherlands,0,0,0,0,Europe,Northern,Winter
New Zealand,0,0,0,0,Western Pacific,Southern,Summer
Nicaragua,0,0,0,0,Americas,Northern,Winter
Niger,0,0,0,0,Africa,Northern,Winter
Nigeria,0,0,0,0,Africa,Northern,Winter
North Macedonia,0,0,0,0,Europe,Northern,Winter
Norway,0,0,0,0,Europe,Northern,Winter
Oman,0,0,0,0,Eastern Mediterranean,Northern,Winter
Pakistan,0,0,0,0,Eastern Mediterranean,Northern,Winter
Panama,0,0,0,0,Americas,Northern,Winter
Papua New Guinea,0,0,0,0,Western Pacific,Southern,Summer
Paraguay,0,0,0,0,Americas,Southern,Summer
Peru,0,0,0,0,Americas,Southern,Summer
Philippines,0,0,0,0,Western Pacific,Northern,Winter
Poland,0,0,0,0,Europe,Northern,Winter
Portugal,0,0,0,0,Europe,Northern,Winter
Qatar,0,0,0,0,Eastern Mediterranean,Northern,Winter
Romania,0,0,0,0,Europe,Northern,Winter
Russia,0,0,0,0,Europe,Northern,Winter
Rwanda,0,0,0,0,Africa,Southern,Summer
Saint Lucia,0,0,0,0,Americas,Northern,Winter
Saint Vincent and the Grenadines,0,0,0,0,Americas,Northern,Winter
San Marino,0,0,0,0,Europe,Northern,Winter
Saudi Arabia,0,0,0,0,Eastern Mediterranean,Northern,Winter
Senegal,0,0,0,0,Africa,Northern,Winter
Serbia,0,0,0,0,Europe,Northern,Winter
Seychelles,0,0,0,0,Africa,Southern,Summer
Singapore,1,0,0,1,Western Pacific,Northern,Winter
Slovakia,0,0,0,0,Europe,Northern,Winter
Slovenia,0,0,0,0,Europe,Northern,Winter
Somalia,0,0,0,0,Eastern Mediterranean,Northern,Winter
South Africa,0,0,0,0,Africa,Southern,Summer
Spain,0,0,0,0,Europe,Northern,Winter
Sri Lanka,0,0,0,0,South-East Asia,Northern,Winter
Sudan,0,0,0,0,Eastern Mediterranean,Northern,Winter
Suriname,0,0,0,0,Americas,Northern,Winter
Sweden,0,0,0,0,Europe,Northern,Winter
Switzerland,0,0,0,0,Europe,Northern,Winter
Taiwan*,1,0,0,1,Western Pacific,Northern,Winter
Tanzania,0,0,0,0,Africa,Southern,Summer
Thailand,3,0,0,3,South-East Asia,Northern,Winter
Togo,0,0,0,0,Africa,Northern,Winter
Trinidad and Tobago,0,0,0,0,Americas,Northern,Winter
Tunisia,0,0,0,0,Eastern Mediterranean,Northern,Winter
Turkey,0,0,0,0,Europe,Northern,Winter
Uganda,0,0,0,0,Africa,Northern,Winter
Ukraine,0,0,0,0,Europe,Northern,Winter
United Arab Emirates,0,0,0,0,Eastern Mediterranean,Northern,Winter
United Kingdom,0,0,0,0,Europe,Northern,Winter
United Kingdom,0,0,0,0,Europe,Northern,Winter
United Kingdom,0,0,0,0,Europe,Northern,Winter
United Kingdom,0,0,0,0,Europe,Northern,Winter
United Kingdom,0,0,0,0,Europe,Northern,Winter
United Kingdom,0,0,0,0,Europe,Northern,Winter
United Kingdom,0,0,0,0,Europe,Northern,Winter
Uruguay,0,0,0,0,Americas,Southern,Summer
USA,1,0,0,1,Americas,Northern,Winter
Uzbekistan,0,0,0,0,Europe,Northern,Winter
Venezuela,0,0,0,0,Americas,Northern,Winter
Vietnam,2,0,0,2,Western Pacific,Northern,Winter
Zambia,0,0,0,0,Africa,Southern,Summer
Zimbabwe,0,0,0,0,Africa,Southern,Summer
Dominica,0,0,0,0,Americas,Northern,Winter
Grenada,0,0,0,0,Americas,Northern,Winter
Mozambique,0,0,0,0,Africa,Southern,Summer
Syria,0,0,0,0,Eastern Mediterranean,Northern,Winter
Timor-Leste,0,0,0,0,South-East Asia,Southern,Summer
Belize,0,0,0,0,Americas,Northern,Winter
Laos,0,0,0,0,Western Pacific,Northern,Winter
Libya,0,0,0,0,Eastern Mediterranean,Northern,Winter
West Bank and Gaza,0,0,0,0,Eastern Mediterranean,Northern,Winter
Guinea-Bissau,0,0,0,0,Africa,Northern,Winter
